t,person,field,old,new,source,mode
243.0,P16-02,Bone,direct: Appears from another angle and lets the guard retreat.,direct: precise attack on a person the entrance guard is trying to protect,K046,direct
243.0,P16-02,Bone,direct: precise attack on a person the entrance guard is trying to protect,direct: Spares the guard while harming a person within his protective reach.,E0143,direct
254.0,P16-01,Bone,unknown,"heard: Kills the recognised entrance guard personally after prolonged, consequential torment.",E0148,heard
254.0,P16-04,Bone,unknown,"heard: Kills the recognised entrance guard personally after prolonged, consequential torment.",E0148,heard
254.0,P16-05,Bone,unknown,"heard: Kills the recognised entrance guard personally after prolonged, consequential torment.",E0148,heard
254.0,P16-06,Bone,unknown,"heard: Kills the recognised entrance guard personally after prolonged, consequential torment.",E0148,heard
254.0,P16-07,Bone,unknown,"heard: Kills the recognised entrance guard personally after prolonged, consequential torment.",E0148,heard
255.0,P10-14,Blood,direct: Deliberate pressure strike toward the perceived concentration.,heard: Deliberate pressure strike toward the perceived concentration.,E0149,heard
255.0,P10-23,Blood,direct: Deliberate pressure strike toward the perceived concentration.,heard: Deliberate pressure strike toward the perceived concentration.,E0149,heard
267.0,P10-14,Blood,heard: Deliberate pressure strike toward the perceived concentration.,direct: Deliberate pressure strike toward the perceived concentration.,E0157,direct
267.0,P10-23,Blood,heard: Deliberate pressure strike toward the perceived concentration.,direct: Deliberate pressure strike toward the perceived concentration.,E0157,direct
269.0,P10-14,shelter,direct: blood_stream,direct: Bone precision strike at refuge,E0158,direct
269.0,P10-23,shelter,direct: blood_stream,direct: Bone precision strike at refuge,E0158,direct
269.0,P10-10,Bone,heard: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for ,heard: Precise shutter / wall strike near a stream-marked or noisy shelter; occupants cannot locate a ,E0158,heard
269.0,P10-11,Bone,heard: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for ,heard: Precise shutter / wall strike near a stream-marked or noisy shelter; occupants cannot locate a ,E0158,heard
269.0,P10-12,Bone,heard: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for ,heard: Precise shutter / wall strike near a stream-marked or noisy shelter; occupants cannot locate a ,E0158,heard
269.0,P10-14,Bone,unknown,direct: Precise shutter / wall strike near a stream-marked or noisy shelter; occupants cannot locate a ,E0158,direct
269.0,P10-17,Bone,heard: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for ,heard: Precise shutter / wall strike near a stream-marked or noisy shelter; occupants cannot locate a ,E0158,heard
269.0,P10-18,Bone,heard: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for ,heard: Precise shutter / wall strike near a stream-marked or noisy shelter; occupants cannot locate a ,E0158,heard
269.0,P10-19,Bone,heard: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for ,heard: Precise shutter / wall strike near a stream-marked or noisy shelter; occupants cannot locate a ,E0158,heard
269.0,P10-20,Bone,heard: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for ,heard: Precise shutter / wall strike near a stream-marked or noisy shelter; occupants cannot locate a ,E0158,heard
269.0,P10-21,Bone,heard: Deliberate near-hit at cover / carried object; the acquired person is intentionally spared for ,heard: Precise shutter / wall strike near a stream-marked or noisy shelter; occupants cannot locate a ,E0158,heard
269.0,P10-23,Bone,unknown,direct: Precise shutter / wall strike near a stream-marked or noisy shelter; occupants cannot locate a ,E0158,direct
304.0,P11-09,shelter,,direct: blood_stream,S018,direct
304.0,P11-10,shelter,,direct: blood_stream,S018,direct
308.0,P10-23,Blood,direct: Deliberate pressure strike toward the perceived concentration.,direct: pressure strike at physical concentration,K050,direct
308.0,P08-12,Blood,direct: Deliberate pressure strike toward the perceived concentration.,heard: Deliberate pressure strike toward the perceived concentration.,E0183,heard
308.0,P08-13,Blood,direct: Deliberate pressure strike toward the perceived concentration.,heard: Deliberate pressure strike toward the perceived concentration.,E0183,heard
308.0,P08-14,Blood,direct: Deliberate pressure strike toward the perceived concentration.,heard: Deliberate pressure strike toward the perceived concentration.,E0183,heard
308.0,P08-15,Blood,direct: Deliberate pressure strike toward the perceived concentration.,heard: Deliberate pressure strike toward the perceived concentration.,E0183,heard
308.0,P08-16,Blood,direct: Deliberate pressure strike toward the perceived concentration.,heard: Deliberate pressure strike toward the perceived concentration.,E0183,heard
314.0,P10-07,shelter,,direct: blood_stream,S021,direct
314.0,P10-08,shelter,,direct: blood_stream,S021,direct
314.0,P10-09,shelter,,direct: blood_stream,S021,direct
314.0,P10-22,shelter,,direct: blood_stream,S021,direct
320.0,P10-08,Blood,heard: Deliberate pressure strike toward the perceived concentration.,direct: pressure strike at physical concentration,K052,direct
320.0,P10-22,Blood,heard: Deliberate pressure strike toward the perceived concentration.,direct: pressure strike at physical concentration,K054,direct
339.0,P08-12,shelter,direct: Bone precision strike at refuge,direct: blood_stream,S024,direct
339.0,P08-13,shelter,direct: Bone precision strike at refuge,direct: blood_stream,S024,direct
339.0,P08-14,shelter,direct: Bone precision strike at refuge,direct: blood_stream,S024,direct
339.0,P08-15,shelter,direct: Bone precision strike at refuge,direct: blood_stream,S024,direct
339.0,P08-16,shelter,direct: Bone precision strike at refuge,direct: blood_stream,S024,direct
339.0,P09-03,shelter,direct: Bone precision strike at refuge,direct: blood_stream,S024,direct
339.0,P09-04,shelter,direct: Bone precision strike at refuge,direct: blood_stream,S024,direct
339.0,P09-05,shelter,direct: Bone precision strike at refuge,direct: blood_stream,S024,direct
339.0,P09-07,shelter,direct: Bone precision strike at refuge,direct: blood_stream,S024,direct
339.0,P09-13,shelter,direct: Bone cut off cover,direct: blood_stream,S024,direct
344.0,P08-13,Blood,heard: Deliberate pressure strike toward the perceived concentration.,direct: pressure strike at physical concentration,K056,direct
344.0,P08-14,Blood,heard: Deliberate pressure strike toward the perceived concentration.,direct: pressure strike at physical concentration,K056,direct
344.0,P08-15,Blood,heard: Deliberate pressure strike toward the perceived concentration.,direct: pressure strike at physical concentration,K056,direct
344.0,P08-16,Blood,heard: Deliberate pressure strike toward the perceived concentration.,direct: pressure strike at physical concentration,K056,direct
344.0,P09-03,Blood,heard: Deliberate pressure strike toward the perceived concentration.,direct: pressure strike at physical concentration,K056,direct
344.0,P09-04,Blood,heard: Deliberate pressure strike toward the perceived concentration.,direct: pressure strike at physical concentration,K056,direct
344.0,P09-05,Blood,heard: Deliberate pressure strike toward the perceived concentration.,direct: pressure strike at physical concentration,K056,direct
344.0,P09-07,Blood,heard: Deliberate pressure strike toward the perceived concentration.,direct: pressure strike at physical concentration,K056,direct
344.0,P09-13,Blood,heard: Deliberate pressure strike toward the perceived concentration.,direct: pressure strike at physical concentration,K056,direct
354.0,P10-01,shelter,,direct: blood_stream,S026,direct
354.0,P10-02,shelter,,direct: blood_stream,S026,direct
354.0,P10-03,shelter,,direct: blood_stream,S026,direct
354.0,P10-15,shelter,,direct: blood_stream,S026,direct
354.0,P10-16,shelter,,direct: blood_stream,S026,direct
368.0,P10-01,barrier_report,False,True,warning from P06-10,report
368.0,P10-02,barrier_report,False,True,warning from P06-10,report
368.0,P10-03,barrier_report,False,True,warning from P06-10,report
368.0,P10-16,barrier_report,False,True,warning from P06-10,report
